,movie_id,title,tags
20,1930,The Amazing Spider-Man,peter parker is an outcast high schooler abandon by hi parent as a boy leav him to be rais by hi uncl ben and aunt may like most teenagers peter is tri to figur out who he is and how he got to be the person he is today as peter discov a mysteri briefcas that belong to hi father he begin a quest to understand hi parents disappear  lead him directli to oscorp and the lab of dr curt connors hi father former partner as spiderman is set on a collis cours with connors alter ego the lizard peter will make lifealt choic to use hi power and shape hi destini to becom a hero loss_of_fath vigilant serum marvel_com scientific_experi spider_bit masked_vigilant reboot super_pow genetic_engin social_outcast duringcreditssting action adventur fantasi andrew_garfield emma_ston rhys_ifan marc_webb
21,20662,Robin Hood,when soldier robin happen upon the die robert of loxley he promis to return the man sword to hi famili in nottingham there he assum robert identity romanc hi widow marion and draw the ire of the town sheriff and king john henchman godfrey robin_hood archer knight sherwood_forest bow_and_arrow middle_ag mediev king_of_england action adventur russell_crow cate_blanchett max_von_sydow ridley_scott
22,57158,The Hobbit: The Desolation of Smaug,the dwarves bilbo and gandalf have success escap the misti mountains and bilbo ha gain the one ring they all continu their journey to get their gold back from the dragon smaug elv dwarv orc hobbit dragon wizard sword_and_sorceri adventur fantasi martin_freeman ian_mckellen richard_armitag peter_jackson
23,2268,The Golden Compass,after overhear a shock secret precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north unawar that it part of her destiny england compass experi lordship uncl polar_bear orphan anim based_on_young_adult_novel adventur fantasi dakota_blue_richard nicole_kidman daniel_craig chris_weitz
24,254,King Kong,in 1933 new york an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island where they encount kong a giant ape who is immedi smitten with the lead lady film_busi screenplay show_busi film_mak film_produc exotic_island monster indigen ship dinosaur adventur drama action naomi_watt jack_black adrien_brodi peter_jackson
25,597,Titanic,84 year later a 101yearold woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert brock lovett lewi bodine bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912 on a ship call titan when young rose board the depart ship with the upperclass passeng and her mother ruth dewitt bukater and her fiancé caledon hockley meanwhile a drifter and artist name jack dawson and hi best friend fabrizio de rossi win thirdclass ticket to the ship in a game and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th 1912 at 220 in the morning shipwreck iceberg ship panic titan ocean_lin epic rich_woman__poor_man love disast tragic_lov class_differ imax star_crossed_lov steerag salvag rich_snob 3d 1910 drama romanc thriller kate_winslet leonardo_dicaprio frances_fish james_cameron
26,271110,Captain America: Civil War,follow the event of age of ultron the collect govern of the world pass an act design to regul all superhuman activity thi polar opinion amongst the avengers caus two faction to side with iron man or captain america which caus an epic battl between former allies civil_war war marvel_com sequel superhero based_on_comic_book imax aftercreditssting duringcreditssting marvel_cinematic_univers 3d adventur action science_fict chris_evan robert_downey_jr scarlett_johansson anthony_russo
27,44833,Battleship,when mankind beam a radio signal into space a repli come from planet g in the form of sever alien craft that splash down in the water off hawaii lieuten alex hopper is a weapon offic assign to the uss john paul jones part of an intern naval coalit which becom the world last hope for surviv as they engag the hostil alien forc of unimagin strength while take on the invaders hopper must also tri to live up to the potenti hi brother and hi fiancée father admir shane expect of him fight us_navi mind_read hong_kong soccer scientist fictional_war naval armada battleship naval_combat jds_myoko lost_commun taser buoy communications_expert joint_chiefs_of_staff crash_land jet_fighter_pilot navy_lieuten permission_to_marri uss_john_paul_jon based_on_board_gam aftercreditssting mighty_mo uss_missouri thriller action adventur science_fict taylor_kitsch alexander_skarsgård rihanna peter_berg
28,135397,Jurassic World,twentytwo year after the event of jurass park isla nublar now featur a fulli function dinosaur theme park jurass world as origin envis by john hammond monster dna tyrannosaurus_rex velociraptor island sequel suspens disast escap dinosaur amusement_park animal_attack theme_park jurassic_park 3d animal_horror action adventur science_fict thriller chris_pratt bryce_dallas_howard irrfan_khan colin_trevorrow
29,37724,Skyfall,when bond latest assign goe grave wrong and agent around the world are exposed mi6 is attack forc m to reloc the agency these event caus her author and posit to be challeng by gareth mallory the new chairman of the intellig and secur committee with mi6 now compromis from both insid and out m is left with one alli she can trust bond 007 take to the shadow  aid onli by field agent eve  follow a trail to the mysteri silva whose lethal and hidden motiv have yet to reveal themselves spi secret_ag sociopath killer art_galleri british_secret_servic istanbul_turkey imax uzi booby_trap impersonating_a_police_offic macao action adventur thriller daniel_craig judi_dench javier_bardem sam_mend
30,558,Spider-Man 2,peter parker is go through a major ident crisis burn out from be spiderman he decid to shelv hi superhero alter ego which leav the citi suffer in the wake of carnag left by the evil doc ock in the meantime parker still cant act on hi feel for mari jane watson a girl he love sinc childhood dual_ident love_of_ones_lif pizza_boy marvel_com sequel superhero doctor scientist tentacl death super_villain action adventur fantasi tobey_maguir kirsten_dunst james_franco sam_raimi
31,68721,Iron Man 3,when toni stark world is torn apart by a formid terrorist call the mandarin he start an odyssey of rebuild and retribution terrorist war_on_terror tennesse malibu marvel_com superhero based_on_comic_book tony_stark iron_man aftercreditssting marvel_cinematic_univers mandarin 3d war_machin iron_patriot extremi action adventur science_fict robert_downey_jr gwyneth_paltrow don_cheadl shane_black
32,12155,Alice in Wonderland,alice an unpretenti and individu 19yearold is betroth to a dunc of an english nobleman at her engag party she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit arriv in a strang and surreal place call underland she find herself in a world that resembl the nightmar she had as a child fill with talk animals villain queen and knights and frumiou bandersnatches alic realiz that she is there for a reason  to conquer the horrif jabberwocki and restor the right queen to her throne based_on_novel fictional_plac queen fantasi alice_in_wonderland fantasy_world 3d famili fantasi adventur mia_wasikowska johnny_depp anne_hathaway tim_burton
33,36668,X-Men: The Last Stand,when a cure is found to treat mutations line are drawn amongst the xmen and the brotherhood a band of power mutant organ under xavier former ally magneto mutant marvel_com based_on_comic_book superhuman beast cyclop aftercreditssting adventur action science_fict thriller hugh_jackman halle_berri ian_mckellen brett_ratn
34,62211,Monsters University,a look at the relationship between mike and sulley dure their day at monster univers  when they werent necessarili the best of friends monster dormitori game anim best_friend univers scari aftercreditssting anim famili billy_cryst john_goodman steve_buscemi dan_scanlon
35,8373,Transformers: Revenge of the Fallen,sam witwicki leav the autobot behind for a normal life but when hi mind is fill with cryptic symbols the decepticon target him and he is drag back into the transformers war egypt sun chao symbol artifact transform tank robot imax duringcreditssting science_fict action adventur shia_labeouf megan_fox josh_duhamel michael_bay
36,91314,Transformers: Age of Extinction,as human pick up the pieces follow the conclus of transformers dark of the moon autobot and decepticon have all but vanish from the face of the planet however a group of powerful ingeni businessman and scientist attempt to learn from past transform incurs and push the boundari of technolog beyond what they can control  all while an ancient power transform menac set earth in hi crosshairs sequel alien transform giant_robot robot imax transforming_robot science_fict action adventur mark_wahlberg stanley_tucci kelsey_gramm michael_bay
37,68728,Oz: The Great and Powerful,oscar diggs a smalltim circu illusionist and conartist is whisk from kansa to the land of oz where the inhabit assum he the great wizard of prophecy there to save oz from the clutch of evil circu witch magic hope illus lost magic_trick wizard 3d fantasi adventur famili james_franco mila_kuni rachel_weisz sam_raimi
38,102382,The Amazing Spider-Man 2,for peter parker life is busy between take out the bad guy as spiderman and spend time with the person he loves gwen stacy high school graduat cannot come quickli enough peter ha not forgotten about the promis he made to gwen father to protect her by stay away but that is a promis he cannot keep thing will chang for peter when a new villain electro emerges an old friend harri osborn returns and peter uncov new clue about hi past obsess marvel_com sequel based_on_comic_book electrocut medical_experi electr super_pow action adventur fantasi andrew_garfield emma_ston jamie_foxx marc_webb
39,20526,TRON: Legacy,sam flynn the techsavvi and dare son of kevin flynn investig hi father disappear and is pull into the grid with the help of a mysteri program name quorra sam quest to stop evil dictat clu from cross into the real world artificial_intellig secret_ident computer_program dystopia comput decept duel motorcycl neon_light autocraci adventur action science_fict garrett_hedlund jeff_bridg olivia_wild joseph_kosinski
40,49013,Cars 2,star race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own intern espionage car_rac sequel comedi anthropomorph best_friend duringcreditssting anim famili adventur comedi owen_wilson larry_the_cable_guy michael_cain john_lasset
41,44912,Green Lantern,for centuries a small but power forc of warrior call the green lantern corp ha sworn to keep intergalact order each green lantern wear a ring that grant him superpowers but when a new enemi call parallax threaten to destroy the balanc of power in the universe their fate and the fate of earth lie in the hand of the first human ever recruited dc_comic transform superhero alien alien_infect magical_object protector super_pow origin 3d adventur action thriller science_fict ryan_reynold blake_l peter_sarsgaard martin_campbel
42,10193,Toy Story 3,woody buzz and the rest of andy toy havent been play with in years with andi about to go to college the gang find themselv accident left at a nefari day care center the toy must band togeth to escap and return home to andy hostag colleg toy barbi anim escap day_car teddy_bear duringcreditssting toy_comes_to_lif personif inanimate_objects_coming_to_lif toy_stori anim famili comedi tom_hank tim_allen ned_beatti lee_unkrich
43,534,Terminator Salvation,all grown up in postapocalypt 2018 john connor must lead the resist of human against the increasingli domin militarist robots but when marcu wright appears hi exist confus the mission as connor tri to determin whether wright ha come from the futur or the past  and whether he friend or foe saving_the_world artificial_intellig propheci san_francisco cyborg killer_robot gas_stat postapocalypt dystopia armi firearm wartim los_angel action science_fict thriller christian_bal sam_worthington anton_yelchin mcg
44,168259,Furious 7,deckard shaw seek reveng against domin toretto and hi famili for hi comatos brother car_rac speed reveng suspens car race muscle_car action vin_diesel paul_walk dwayne_johnson james_wan
45,72190,World War Z,life for former unit nation investig gerri lane and hi famili seem content suddenly the world is plagu by a mysteri infect turn whole human popul into rampag mindless zombies after bare escap the chaos lane is persuad to go on a mission to investig thi disease what follow is a peril trek around the world where lane must brave horrif danger and long odd to find answer befor human civil falls dystopia apocalyps zombi nuclear_weapon multiple_perspect zombie_apocalyps action drama horror science_fict thriller brad_pitt mireille_eno abigail_hargrov marc_forst
46,127585,X-Men: Days of Future Past,the ultim xmen ensembl fight a war for the surviv of the speci across two time period as they join forc with their younger selv in an epic battl that must chang the past  to save our future 1970 mutant time_travel marvel_com based_on_comic_book superhuman storm beast aftercreditssting changing_the_past_or_futur action adventur fantasi science_fict hugh_jackman james_mcavoy michael_fassbend bryan_sing
47,54138,Star Trek Into Darkness,when the crew of the enterpris is call back home they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for leav our world in a state of crisis with a person score to settle captain kirk lead a manhunt to a warzon world to captur a one man weapon of mass destruction as our hero are propel into an epic chess game of life and death love will be challenged friendship will be torn apart and sacrific must be made for the onli famili kirk ha left hi crew spacecraft friendship sequel futurist space alien imax space_opera terrorist_bomb 3d action adventur science_fict chris_pin zachary_quinto zoe_saldana jj_abram
48,81005,Jack the Giant Slayer,the stori of an ancient war that is reignit when a young farmhand unwittingli open a gateway between our world and a fearsom race of giants unleash on the earth for the first time in centuries the giant strive to reclaim the land they onc lost forc the young man jack into the battl of hi life to stop them fight for a kingdom it people and the love of a brave princess he come face to face with the unstopp warrior he thought onli exist in legendand get the chanc to becom a legend himself based_on_fairy_tal giant action famili fantasi nicholas_hoult eleanor_tomlinson ewan_mcgregor bryan_sing
49,64682,The Great Gatsby,an adapt of f scott fitzgerald long islandset novel where midwestern nick carraway is lure into the lavish world of hi neighbor jay gatsby soon enough however carraway will see through the crack of gatsby nouveau rich existence where obsession madness and tragedi await based_on_novel infidel obsess hope 3d drama romanc leonardo_dicaprio tobey_maguir carey_mulligan baz_luhrmann
50,9543,Prince of Persia: The Sands of Time,a rogu princ reluctantli join forc with a mysteri princess and together they race against dark forc to safeguard an ancient dagger capabl of releas the sand of time  gift from the god that can revers time and allow it possessor to rule the world persia sandstorm brother_against_broth armageddon regent based_on_video_gam adventur fantasi action romanc jake_gyllenha gemma_arterton ben_kingsley mike_newel
51,68726,Pacific Rim,when legion of monstrou creatures known as kaiju start rise from the sea a war began that would take million of live and consum humanity resourc for year on end to combat the giant kaiju a special type of weapon wa devised massiv robots call jaegers which are control simultan by two pilot whose mind are lock in a neural bridge but even the jaeger are prove nearli defenseless in the face of the relentless kaiju on the verg of defeat the forc defend mankind have no choic but to turn to two unlik heroesa washedup former pilot charli hunnam and an untest traine rinko kikuchiwho are team to drive a legendari but seemingli obsolet jaeger from the past together they stand as mankind last hope against the mount apocalypse dystopia giant_robot giant_monst apocalyps imax duringcreditssting 3d action science_fict adventur idris_elba charlie_hunnam charlie_day guillermo_del_toro
52,38356,Transformers: Dark of the Moon,sam witwicki take hi first tenuou step into adulthood while remain a reluct human alli of autobotlead optimu prime the film center around the space race between the ussr and the usa suggest there wa a hidden transform role in it all that remain one of the planet most danger secrets moon spacecraft traitor bodyguard alien_planet based_on_cartoon transform giant_robot sabotag word_domin commando duringcreditssting action science_fict adventur shia_labeouf john_malkovich ken_jeong michael_bay
53,217,Indiana Jones and the Kingdom of the Crystal Skull,set dure the cold war the soviet  led by swordwield irina spalko  are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold after be captur and then escap from them indi is coerc to head to peru at the behest of a young man whose friend  and indy colleagu  professor oxley ha been captur for hi knowledg of the skull whereabouts saving_the_world riddl whip treasur mexico_c leather_jacket machinegun alien_phenomenon maya_civil peru treasure_hunt nuclear_explos refriger archaeologist indiana_jon archeology  adventur action harrison_ford cate_blanchett shia_labeouf steven_spielberg
54,105864,The Good Dinosaur,an epic journey into the world of dinosaur where an apatosauru name arlo make an unlik human friend tyrannosaurus_rex friend alternate_histori dinosaur fear storm natur human journey adventur anim famili raymond_ochoa jack_bright jeffrey_wright peter_sohn
55,62177,Brave,brave is set in the mystic scottish highlands where mérida is the princess of a kingdom rule by king fergu and queen elinor an unruli daughter and an accomplish archer mérida one day defi a sacr custom of the land and inadvert bring turmoil to the kingdom in an attempt to set thing right mérida seek out an eccentr old wise woman and is grant an illfat wish also figur into mérida quest  and serv as comic relief  are the kingdom three lords the enorm lord macguffin the surli lord macintosh and the disagre lord dingwall scotland rebel braveri kingdom archer wish bear scot rebellious_daught turns_into_anim archeri ruin aftercreditssting peace_off woman_director courag 3d anim adventur comedi famili action fantasi kelly_macdonald julie_walt billy_connolli brenda_chapman
56,188927,Star Trek Beyond,the uss enterpris crew explor the furthest reach of unchart space where they encount a mysteri new enemi who put them and everyth the feder stand for to the test sequel strand hatr space_opera action adventur science_fict chris_pin zachary_quinto karl_urban justin_lin
57,10681,WALL·E,wall is the last robot left on an earth that ha been overrun with garbag and all human have fled to outer space for 700 year he ha continu to tri and clean up the mess but ha develop some rather interest humanlik qualities when a ship arriv with a sleek new type of robot wall think he final found a friend and stow away on the ship when it leaves romantic_comedi anim famili ben_burtt elissa_knight jeff_garlin andrew_stanton
58,5174,Rush Hour 3,after an attempt assassin on ambassador han inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads secret leaders lee also hold secret meet with a unit nation authority but hi person struggl with a chines crimin mastermind name kenji which reveal that it lee longlostbrother ambassador action comedi crime thriller chris_tuck jackie_chan hiroyuki_sanada brett_ratn
59,14161,2012,dr adrian helmsley part of a worldwid geophys team investig the effect on the earth of radiat from unpreced solar storms learn that the earth core is heat up he warn us presid thoma wilson that the crust of the earth is becom unstabl and that without proper prepar for save a fraction of the world population the entir race is doomed meanwhile writer jackson curti stumbl on the same information while the world leader race to build arks to escap the impend cataclysm curti struggl to find a way to save hi family meanwhile volcan erupt and earthquak of unpreced strength wreak havoc around the world civil natural_disast end_of_the_world disast apocalyps destruct volcanic_erupt mayan ark solar destruction__of_mankind action adventur science_fict john_cusack amanda_peet chiwetel_ejiofor roland_emmerich
60,17979,A Christmas Carol,miser ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence what opportun he wast in hi youth hi current cruelties and the dire fate that await him if he doe not chang hi ways scroog is face with hi own stori of grow bitter and meanness and must decid what hi own futur will hold death or redemption holiday based_on_novel victorian_england money christmas_ev scroog christmas_carol ghost lesson charles_dicken christma anim drama gary_oldman jim_carrey steve_valentin robert_zemecki
61,76757,Jupiter Ascending,in a univers where human genet materi is the most preciou commodity an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty jupit space woman_director 3d interspecies_rom science_fict fantasi action adventur mila_kuni channing_tatum sean_bean lilly_wachowski
62,258489,The Legend of Tarzan,tarzan have acclim to life in london is call back to hi former home in the jungl to investig the activ at a mine encampment africa feral_child tarzan jungl animal_attack action adventur alexander_skarsgård margot_robbi christoph_waltz david_y
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",sibl lucy edmund susan and peter step through a magic wardrob and find the land of narnia there the they discov a charming onc peac kingdom that ha been plung into etern winter by the evil white witch jadis aid by the wise and magnific lion aslan the children lead narnia into a spectacular climact battl to be free of the witch glacial power forever saving_the_world witch based_on_novel brother_sister_relationship self_sacrific winter cupboard beaver lion fairytale_figur battl narnia fantasy_world duringcreditssting adventur famili fantasi william_moseley anna_popplewel skandar_keyn andrew_adamson
64,246655,X-Men: Apocalypse,after the reemerg of the world first mutant worlddestroy apocalypse the xmen must unit to defeat hi extinct level plan mutant supernatural_pow marvel_com superhero based_on_comic_book superhuman apocalyps superhero_team world_domin aftercreditssting 1980 science_fict james_mcavoy michael_fassbend jennifer_lawr bryan_sing
65,155,The Dark Knight,batman rais the stake in hi war on crime with the help of lt jim gordon and district attorney harvey dent batman set out to dismantl the remain crimin organ that plagu the streets the partnership prove to be effective but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind known to the terrifi citizen of gotham as the joker dc_comic crime_fight secret_ident scarecrow sadism chao gotham_c vigilant joker superhero based_on_comic_book tragic_hero organized_crim criminal_mastermind district_attorney imax super_villain super_pow batman drama action crime thriller christian_bal heath_ledg aaron_eckhart christopher_nolan
66,14160,Up,carl fredricksen spent hi entir life dream of explor the globe and experienc life to it fullest but at age 78 life seem to have pass him by until a twist of fate and a persist 8year old wilder explor name russell give him a new leas on life age_differ central_and_south_america balloon anim floating_in_the_air duringcreditssting explor anim comedi famili adventur ed_asn christopher_plumm jordan_nagai pete_doct
67,15512,Monsters vs Aliens,when susan murphi is unwittingli clobber by a meteor full of outer space gunk on her wed day she mysteri grow to 49feet11inches the militari jump into action and captur susan secret her away to a covert govern compound she is renam ginormica and place in confin with a ragtag group of monsters alien giant_robot duringcreditssting anim famili adventur science_fict seth_rogen reese_witherspoon hugh_lauri conrad_vernon
68,1726,Iron Man,after be held captiv in an afghan cave billionair engin toni stark creat a uniqu weapon suit of armor to fight evil middle_east arms_deal malibu marvel_com superhero based_on_comic_book tony_stark iron_man aftercreditssting marvel_cinematic_univers counter_terror agent_coulson action science_fict adventur robert_downey_jr terrence_howard jeff_bridg jon_favreau
69,44826,Hugo,hugo is an orphan boy live in the wall of a train station in 1930 paris he learn to fix clock and other gadget from hi father and uncl which he put to use keep the train station clock running the onli thing that he ha left that connect him to hi dead father is an automaton mechan man that doesnt work without a special key which hugo need to find to unlock the secret he believ it contains on hi adventures he meet with a shopkeeper georg melies who work in the train station and hi adventureseek goddaughter hugo find that they have a surpris connect to hi father and the automaton and he discov it unlock some memori the old man ha buri insid regard hi past librari clock film_director key toy boy love orphan robot automaton hide filmmak leg_brac doberman 3d adventur drama famili ben_kingsley sacha_baron_cohen asa_butterfield martin_scorses
70,8487,Wild Wild West,legless southern inventor dr arliss loveless plan to rekindl the civil war by assassin presid us grant onli two men can stop him gunfight jame west and masterofdisguis and inventor artemu gordon the two must team up to thwart loveless plans steampunk based_on_tv_seri steam_locomot drag action adventur comedi science_fict western will_smith kevin_klin kenneth_branagh barry_sonnenfeld
71,1735,The Mummy: Tomb of the Dragon Emperor,archaeologist rick oconnel travel to china pit him against an emperor from the 2000yearold han dynasti who return from the dead to pursu a quest for world domination thi time oconnel enlist the help of hi wife and son to quash the socal dragon emperor and hi abus of supernatur power adventur action fantasi brendan_fras jet_li john_hannah rob_cohen
